Date,PnL
2018-05-25,511038.75
2018-05-27,512371.46
2018-05-28,521453.51
2018-05-29,505870.90
2018-05-30,504363.72
2018-05-31,502530.75
2018-06-01,502519.72
2018-06-03,501901.57
2018-06-04,501073.06
2018-06-05,499604.48
2018-06-06,499715.28
2018-06-07,499298.93
2018-06-08,498994.04
2018-06-10,505586.50
2018-06-11,504665.49
2018-06-12,510311.50
2018-06-13,516772.08
2018-06-14,505050.55
2018-06-15,504562.67
2018-06-17,504604.60
2018-06-18,501780.37
2018-06-19,502010.33
2018-06-20,499957.80
2018-06-21,499641.35
2018-06-22,502982.49
2018-06-24,503842.32
2018-06-25,502218.67
2018-06-26,504357.51
2018-06-27,504459.89
2018-06-28,512938.66
2018-06-29,515102.70
2018-07-01,491356.70
2018-07-02,494549.97
2018-07-03,492113.04
2018-07-04,490790.16
2018-07-05,490066.12
2018-07-06,489591.95
2018-07-08,489752.05
2018-07-09,489715.68
2018-07-10,488742.84
2018-07-11,488703.67
2018-07-12,492664.66
2018-07-13,490314.01
2018-07-15,490676.27
2018-07-16,493183.27
2018-07-17,506266.71
2018-07-18,507345.18
2018-07-19,511692.52
2018-07-20,506082.50
2018-07-22,508267.97
2018-07-23,522475.81
2018-07-24,559104.51
2018-07-25,554622.71
2018-07-26,528389.76
2018-07-27,527925.03
2018-07-29,528406.65
2018-07-30,528262.22
2018-07-31,531088.17
2018-08-01,532243.60
2018-08-02,533232.58
2018-08-03,534840.51
2018-08-05,550975.72
2018-08-06,557782.89
2018-08-07,545087.26
2018-08-08,547422.59
2018-08-09,541613.59
2018-08-10,540794.08
2018-08-12,540979.60
2018-08-13,541567.55
2018-08-14,542051.49
2018-08-15,537936.49
2018-08-16,537970.18
2018-08-17,539554.59
2018-08-19,539579.66
2018-08-20,538956.24
2018-08-21,538700.92
2018-08-22,535862.16
2018-08-23,535084.51
2018-08-24,536146.99
2018-08-26,536539.79
2018-08-27,537633.09
2018-08-28,543994.65
2018-08-29,543190.54
2018-08-30,538332.24
2018-08-31,538430.78
2018-09-02,539397.31
2018-09-03,539196.71
2018-09-04,541171.79
2018-09-05,532699.77
2018-09-06,533719.06
2018-09-07,534352.56
2018-09-09,536677.26
2018-09-10,536282.14
2018-09-11,535985.33
2018-09-12,534944.72
2018-09-13,535633.56
2018-09-14,535535.80
