Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
BITCOIN,Short,BTCUSD,592501,5,2015-12-29 01:00,2015-12-29 22:00,423.29,427.64,-21.73,0.00,Reverse
BITCOIN,Short,BTCUSD,592801,5,2015-12-29 04:00,2015-12-29 22:00,423.02,427.64,-23.08,0.00,Reverse
BITCOIN,Short,BTCUSD,593001,5,2015-12-29 06:00,2015-12-29 22:00,422.05,427.64,-27.96,0.00,Reverse
BITCOIN,Short,BTCUSD,593201,5,2015-12-29 08:00,2015-12-29 22:00,422.76,427.64,-24.42,0.00,Reverse
BITCOIN,Short,BTCUSD,593401,5,2015-12-29 10:00,2015-12-29 22:00,421.86,427.64,-28.90,0.00,Reverse
BITCOIN,Short,BTCUSD,593501,5,2015-12-29 11:00,2015-12-29 22:00,422.77,427.64,-24.37,0.00,Reverse
BITCOIN,Short,BTCUSD,593601,5,2015-12-29 12:00,2015-12-29 22:00,423.54,427.64,-20.52,0.00,Reverse
BITCOIN,Long,BTCUSD,594601,5,2015-12-29 22:00,2015-12-30 17:00,427.64,426.79,-4.24,0.00,Reverse
BITCOIN,Long,BTCUSD,595101,5,2015-12-30 03:00,2015-12-30 17:00,432.23,426.79,-27.19,0.00,Reverse
BITCOIN,Long,BTCUSD,595201,5,2015-12-30 04:00,2015-12-30 17:00,431.56,426.79,-23.83,0.00,Reverse
BITCOIN,Long,BTCUSD,595401,5,2015-12-30 06:00,2015-12-30 17:00,431.41,426.79,-23.10,0.00,Reverse
BITCOIN,Long,BTCUSD,595501,5,2015-12-30 07:00,2015-12-30 17:00,430.19,426.79,-16.98,0.00,Reverse
BITCOIN,Long,BTCUSD,595701,5,2015-12-30 09:00,2015-12-30 17:00,432.18,426.79,-26.92,0.00,Reverse
BITCOIN,Long,BTCUSD,595901,5,2015-12-30 11:00,2015-12-30 17:00,431.86,426.79,-25.35,0.00,Reverse
BITCOIN,Long,BTCUSD,596101,5,2015-12-30 13:00,2015-12-30 17:00,425.55,426.79,+6.20,0.00,Reverse
BITCOIN,Short,BTCUSD,596501,5,2015-12-30 17:00,2015-12-31 20:00,426.79,430.17,-16.88,0.00,Reverse
BITCOIN,Short,BTCUSD,596601,5,2015-12-30 18:00,2015-12-31 20:00,427.34,430.17,-14.14,0.00,Reverse
BITCOIN,Short,BTCUSD,596701,5,2015-12-30 19:00,2015-12-31 20:00,427.99,430.17,-10.87,0.00,Reverse
BITCOIN,Short,BTCUSD,596801,5,2015-12-30 20:00,2015-12-31 20:00,428.23,430.17,-9.68,0.00,Reverse
BITCOIN,Short,BTCUSD,596901,5,2015-12-30 21:00,2015-12-31 20:00,428.37,430.17,-8.99,0.00,Reverse
BITCOIN,Short,BTCUSD,597001,5,2015-12-30 22:00,2015-12-31 20:00,427.64,430.17,-12.62,0.00,Reverse
BITCOIN,Short,BTCUSD,597101,5,2015-12-30 23:00,2015-12-31 20:00,427.78,430.17,-11.93,0.00,Reverse
BITCOIN,Short,BTCUSD,597401,5,2015-12-31 02:00,2015-12-31 20:00,425.62,430.17,-22.73,0.00,Reverse
BITCOIN,Short,BTCUSD,597601,5,2015-12-31 04:00,2015-12-31 20:00,425.85,430.17,-21.59,0.00,Reverse
BITCOIN,Short,BTCUSD,597901,5,2015-12-31 07:00,2015-12-31 20:00,421.00,430.17,-45.82,0.00,Reverse
BITCOIN,Short,BTCUSD,598001,5,2015-12-31 08:00,2015-12-31 20:00,422.79,430.17,-36.87,0.00,Reverse
BITCOIN,Short,BTCUSD,598201,5,2015-12-31 10:00,2015-12-31 20:00,425.26,430.17,-24.55,0.00,Reverse
BITCOIN,Short,BTCUSD,598301,5,2015-12-31 11:00,2015-12-31 20:00,426.13,430.17,-20.18,0.00,Reverse
BITCOIN,Short,BTCUSD,598401,5,2015-12-31 12:00,2015-12-31 20:00,426.78,430.17,-16.94,0.00,Reverse
BITCOIN,Long,BTCUSD,599201,5,2015-12-31 20:00,2016-01-05 15:00,430.17,432.32,+10.77,0.00,Reverse
BITCOIN,Long,BTCUSD,599501,5,2015-12-31 23:00,2016-01-05 15:00,431.08,432.32,+6.23,0.00,Reverse
BITCOIN,Long,BTCUSD,599601,5,2016-01-01 00:00,2016-01-05 15:00,431.03,432.32,+6.45,0.00,Reverse
BITCOIN,Long,BTCUSD,599801,5,2016-01-01 02:00,2016-01-05 15:00,430.15,432.32,+10.85,0.00,Reverse
BITCOIN,Long,BTCUSD,600301,5,2016-01-01 07:00,2016-01-05 15:00,433.36,432.32,-5.20,0.00,Reverse
BITCOIN,Long,BTCUSD,600401,5,2016-01-01 08:00,2016-01-05 15:00,432.95,432.32,-3.15,0.00,Reverse
BITCOIN,Long,BTCUSD,600601,5,2016-01-01 10:00,2016-01-05 15:00,431.51,432.32,+4.07,0.00,Reverse
BITCOIN,Long,BTCUSD,600701,5,2016-01-01 11:00,2016-01-05 15:00,431.23,432.32,+5.45,0.00,Reverse
BITCOIN,Long,BTCUSD,600901,5,2016-01-01 13:00,2016-01-05 15:00,431.67,432.32,+3.26,0.00,Reverse
BITCOIN,Long,BTCUSD,601001,5,2016-01-01 14:00,2016-01-05 15:00,428.64,432.32,+18.43,0.00,Reverse
BITCOIN,Long,BTCUSD,601501,5,2016-01-01 19:00,2016-01-05 15:00,431.06,432.32,+6.31,0.00,Reverse
BITCOIN,Long,BTCUSD,601601,5,2016-01-03 23:00,2016-01-05 15:00,429.77,432.32,+12.75,0.00,Reverse
BITCOIN,Long,BTCUSD,603001,5,2016-01-04 13:00,2016-01-05 15:00,430.84,432.32,+7.42,0.00,Reverse
BITCOIN,Long,BTCUSD,603101,5,2016-01-04 14:00,2016-01-05 15:00,431.78,432.32,+2.72,0.00,Reverse
BITCOIN,Long,BTCUSD,603401,5,2016-01-04 17:00,2016-01-05 15:00,432.90,432.32,-2.88,0.00,Reverse
BITCOIN,Long,BTCUSD,603501,5,2016-01-04 18:00,2016-01-05 15:00,432.49,432.32,-0.82,0.00,Reverse
BITCOIN,Long,BTCUSD,603601,5,2016-01-04 19:00,2016-01-05 15:00,432.93,432.32,-3.06,0.00,Reverse
BITCOIN,Long,BTCUSD,604001,5,2016-01-04 23:00,2016-01-05 15:00,435.07,432.32,-13.76,0.00,Reverse
BITCOIN,Long,BTCUSD,604101,5,2016-01-05 00:00,2016-01-05 15:00,433.33,432.32,-5.04,0.00,Reverse
BITCOIN,Long,BTCUSD,604301,5,2016-01-05 02:00,2016-01-05 15:00,434.75,432.32,-12.13,0.00,Reverse
BITCOIN,Long,BTCUSD,604401,5,2016-01-05 03:00,2016-01-05 15:00,434.11,432.32,-8.95,0.00,Reverse
BITCOIN,Long,BTCUSD,604501,5,2016-01-05 04:00,2016-01-05 15:00,434.04,432.32,-8.60,0.00,Reverse
BITCOIN,Long,BTCUSD,604701,5,2016-01-05 06:00,2016-01-05 15:00,433.39,432.32,-5.33,0.00,Reverse
BITCOIN,Long,BTCUSD,604801,5,2016-01-05 07:00,2016-01-05 15:00,432.96,432.32,-3.19,0.00,Reverse
BITCOIN,Short,BTCUSD,605601,5,2016-01-05 15:00,2016-01-07 04:00,432.32,441.38,-45.27,0.00,Reverse
BITCOIN,Short,BTCUSD,605701,5,2016-01-05 16:00,2016-01-07 04:00,433.03,441.38,-41.71,0.00,Reverse
BITCOIN,Short,BTCUSD,606001,5,2016-01-05 19:00,2016-01-07 04:00,432.19,441.38,-45.94,0.00,Reverse
BITCOIN,Short,BTCUSD,606201,5,2016-01-05 21:00,2016-01-07 04:00,432.27,441.38,-45.51,0.00,Reverse
BITCOIN,Short,BTCUSD,606601,5,2016-01-06 01:00,2016-01-07 04:00,432.16,441.38,-46.10,0.00,Reverse
BITCOIN,Short,BTCUSD,607001,5,2016-01-06 05:00,2016-01-07 04:00,428.82,441.38,-62.76,0.00,Reverse
BITCOIN,Short,BTCUSD,607101,5,2016-01-06 06:00,2016-01-07 04:00,429.20,441.38,-60.89,0.00,Reverse
BITCOIN,Short,BTCUSD,607201,5,2016-01-06 07:00,2016-01-07 04:00,430.66,441.38,-53.60,0.00,Reverse
BITCOIN,Short,BTCUSD,607401,5,2016-01-06 09:00,2016-01-07 04:00,430.62,441.38,-53.80,0.00,Reverse
BITCOIN,Short,BTCUSD,607701,5,2016-01-06 12:00,2016-01-07 04:00,430.96,441.38,-52.10,0.00,Reverse
BITCOIN,Short,BTCUSD,607801,5,2016-01-06 13:00,2016-01-07 04:00,431.01,441.38,-51.82,0.00,Reverse
BITCOIN,Short,BTCUSD,608401,5,2016-01-06 19:00,2016-01-07 04:00,430.62,441.38,-53.77,0.00,Reverse
